Abrir Cerraduras|<p >Elige un objeto que puedas ver dentro del alcance. El objeto puede ser una puerta, una caja, un cofre, unas esposas, un candado u otro objeto que evite el acceso por medios mágicos o mundanos.</p> <p >Un objetivo retenido, atrapado o bloqueado por una cerradura mundana se libera. Si el objetivo tiene varias cerraduras, solo una de ellas se abre.</p> <p >Si eliges un objetivo que está retenido con <i>Cerradura arcana,</i> ese conjuro se anula durante 10 minutos, durante los cuales el objetivo se puede abrir y cerrar con normalidad.</p> <p >Cuando lanzas este conjuro, se oye un fuerte golpe hasta una distancia de 300 pies que surge del objetivo.</p>||60|1|0|0||0|0|1 acción|7|2|Instantáneo|1, 6, 7
Acelerar|<p >Elige una criatura voluntaria que puedas ver dentro del alcance. Hasta que el conjuro termine, la velocidad del objetivo se duplica, consigue un bonificador de +2 a la CA, tiene ventaja en las tiradas de salvación de Destreza y consigue una acción adicional en cada uno de sus turnos. Esta acción solo se puede usar para realizar una acción de ataque (solo un ataque de arma), esprintar, retirarse, esconderse o usar un objeto.</p> <p >Cuando el conjuro termina, el objetivo no puede moverse ni realizar acciones hasta después de su siguiente turno, ya que le invade una ola de letargo.</p>||30|1|1|1|una corteza de raíz de regaliz|0|1|1 acción|7|3|Hasta 1 minuto|6, 7
Adivinación|<p >Tu magia y tu ofrenda te ponen en contacto con un dios o con el sirviente de un dios al que puedes hacer una única pregunta concerniente a una meta, evento o actividad específica que ocurrirá en un plazo máximo de 7 días. El director de juego te dará una respuesta veraz, la cual puede ser una frase corta, una rima críptica o un augurio.</p><p >El conjuro no tiene en cuenta cualquier circunstancia posible que pueda cambiar el resultado, como si se lanza un conjuro adicional o si se gana o se pierde un compañero.</p><p >Si lanzas el conjuro dos o más veces antes de terminar tu siguiente descanso prolongado, hay un 25&nbsp;% de probabilidades acumulativas de obtener una lectura aleatoria cada vez que lances el conjuro después de la primera vez. El director de juego hace esta tirada en secreto.</p>||0|1|1|1|incienso y una ofrenda apropiada a tu religión. Juntos, los componenetes deben costar como minimo 25 po, que se consumen en el lanzamiento del conjuro|1|0|1 acción|8|4|Instantáneo|3
Agrandar/Reducir|<p>Haces que una criatura o un objeto que puedes ver dentro del alcance se haga más grande o más pequeño mientras dura el conjuro. Elige cualquier criatura u objeto que nadie lleve puesto ni transporte. Si el objetivo no es voluntario, puede hacer una tirada de salvación de Constitución: si tiene éxito, el conjuro no tiene efecto. Si el objetivo es una criatura, todo lo que lleva puesto y transporte cambia de tamaño con él. Si una criatura afectada suelta un objeto, este vuelve a su tamaño normal inmediatamente.</p><p><b>Agrandar</b>. El tamaño del objetivo se duplica en todas las dimensiones y su peso se multiplica por 8. Este crecimiento aumenta su tamaño en una categoría (de Mediano a Grande, por ejemplo). Si no hay espacio suficiente para que el objetivo duplique su tamaño, la criatura o el objeto alcanza el máximo tamaño posible en el espacio disponible. Hasta que el conjuro termine, el objetivo también tiene ventaja en las pruebas y tiradas de salvación de Fuerza. Las armas del objetivo también crecen a la par que su nuevo tamaño. Mientras las empuñe, los ataques que haga con ellas infligen 1d4 puntos de daño adicional.</p><p><b>Reducir</b>. El tamaño del objetivo se divide por 2 en todas las dimensiones y su peso se reduce a una octava parte de lo normal. Esta reducción disminuye su tamaño en una categoría (de Mediano a Pequeño, por ejemplo). Hasta que el conjuro termine, el objetivo también tiene desventaja en las pruebas y tiradas de salvación de Fuerza. Las armas del objetivo también se reducen a la par que su nuevo tamaño. Mientras las empuñe, los ataques que haga con ellas infligen 1d4 puntos de daño menos (el daño no se puede reducir por debajo de 1).</p>||30|1|1|1|una pizca de hierro en polvo|0|1|1 acción|7|2|Hasta 1 minuto|6, 7
Alarma|<p >Activas una alarma contra intrusos. Elige una puerta, ventana o área dentro del alcance que no tenga más de 20 pies cúbicos. Hasta que el conjuro termine, una alarma te alerta cuando una criatura Diminuta o mayor toca o entra en el área protegida. Cuando lanzas el conjuro, puedes designar criaturas que no activarán la alarma. También eliges si la alarma es mental o audible.</p><p >Una alarma mental te alerta con un silbido en tu mente si estás a 1 milla o menos del área custodiada. Este silbido te despierta si estás durmiendo.</p><p >Una alarma audible produce el sonido de una campanilla durante 10 segundos a 60 pies o menos.</p>||30|1|1|1|una pequeña campana y un pedazo de fino alambre de plata|1|0|1 minuto|3|1|8 horas|6, 7
Aliado de los planos|<p>Suplicas ayuda a una entidad de otro mundo que conozcas: un dios, un primordial, un príncipe demonio u otro ser con poder cósmico. La entidad envía un celestial, un elemental o un infernal que le sea leal a un lugar sin ocupar dentro del alcance para que te ayude. Si conoces el nombre de una criatura específica, puedes decirlo cuando lances el conjuro para solicitarla, aunque la entidad puede enviarte cualquier otra de todos modos (a elección del director de juego).</p><p>Cuando la criatura aparece, no se encuentra coaccionada para actuar de un modo en particular. Puedes pedirle que realice un servicio a cambio de un pago, pero no está obligada a hacerlo. La tarea solicitada puede ser desde una actividad simple (cruzar un abismo volando o ayudar a luchar en la batalla) a una compleja (espiar a vuestros enemigos o protegeros durante vuestra incursión en el dungeon). Debes ser capaz de comunicarte con la criatura para hacer un trato a cambio de sus servicios.</p><p>El pago puede tener muchas formas. Un celestial puede requerir una donación considerable de oro u objetos mágicos a un templo aliado, mientras que un infernal puede exigir el sacrificio de una vida o un tesoro. Algunas criaturas pueden intercambiar sus servicios por que realices una misión.</p><p>Como normal general, una tarea que se puede medir en minutos requiere un pago de 100 po por minuto, una tarea que se mide en horas requiere 1000 po por hora y una tarea que se mide en días (hasta 10 días) requiere 10 000 po por día. El director de juego puede ajustar estos pagos de acuerdo a las circunstancias bajo las que se lanza el conjuro. Si la tarea está alineada con el ethos de la criatura, el pago se podría dividir por dos o incluso obviar. Las tareas que no son peligrosas normalmente requieren la mitad del pago requerido, mientras que las tareas especialmente peligrosas pueden requerir un obsequio mayor. Las criaturas rara vez aceptan tareas que parecen suicidas.</p><p>Después de que la criatura complete su tarea o cuando la duración del servicio acordado expire, la criatura regresa a su plano natal después de informarte sobre el cumplimiento de la tarea, si es posible. Si no eres capaz de acordar un precio por el servicio de la criatura, esta regresa inmediatamente a su plano natal.</p><p>Una criatura a la que reclutas para que se una a tu grupo se considera un miembro de este, por lo que recibe su parte correspondiente de los puntos de experiencia ganados.</p>||60|1|1|0||0|0|10 minutos|1|6|Instantáneo|3
Amistad con los animales|<p>Este conjuro te permite convencer a una bestia que pueda verte y escucharte de que no pretendes hacerle daño. Si su Inteligencia es 4 o superior, el conjuro falla. Si no, la bestia debe superar una tirada de salvación de Sabiduría para no quedar hechizada mientras dura el conjuro. Si tú o uno de tus compañeros daña al objetivo, el conjuro termina.</p>|<p>Cuando lanzas este conjuro usando un espacio de conjuro de nivel 2 o superior, puedes afectar a una bestia adicional por cada nivel por encima de 1.</p>|30|1|1|1|un bocado de comida|0|0|1 acción|5|1|24 horas|1, 4, 5
Animal mensajero|<p>Mediante este conjuro, usas un animal para entregar un mensaje. Debes elegir una bestia Diminuta que puedas ver dentro del alcance, como una ardilla, un arrendajo azul o un murciélago, especificar el lugar, donde debes haber estado, y describir en términos generales al receptor, como «un hombre o una mujer con el uniforme de la guardia de la torre» o «un enano pelirrojo que lleva un sombrero puntiagudo». Un mensaje puede ser de hasta 25 palabras.</p><p>La bestia objetivo viajará mientras dure el conjuro hacia la localización indicada; si es voladora, cubre unas 50 millas cada 24 horas y, si es otro animal, cubre 25 millas. Cuando llega, entrega tu mensaje a la criatura que has descrito reproduciendo el sonido de tu voz. El mensajero solo hablará a una criatura que encaje con la descripción que le has dado. Si el mensajero no alcanza su destino antes de que termine el conjuro, el mensaje se pierde y la bestia vuelve al lugar donde lanzaste el conjuro.</p>|<p>Si lanzas este conjuro usando un espacio de nivel 3 o superior, la duración del conjuro aumenta en 48 horas por cada nivel por encima de 2.</p>|30|1|1|1|un bocado de comida|1|0|1 acción|5|2|24 horas|1, 4, 5
Animar objetos|"<p>Los objetos pueden cobrar vida bajo tus órdenes. Elige hasta diez objetos no mágicos dentro del alcance que nadie lleve puestos ni transporte. Un objeto Mediano cuenta como dos objetos, uno Grande cuenta como cuatro y uno Enorme cuenta como ocho. No puedes animar objetos de un tamaño superior a Enorme. Cada objetivo cobra vida y se convierte en una criatura que controlas hasta que el conjuro se acabe o hasta que sus puntos de golpe se reduzcan a 0.</p><p>Como acción adicional, puedes darle órdenes mentalmente a cualquier criatura que hayas creado con este conjuro y que se encuentre a 500 pies de ti o menos (si controlas varias criaturas, puedes dar órdenes a cualquiera o a todas ellas al mismo tiempo, emitiendo la misma orden para todas). Tú decides qué acción hará la criatura y adónde se moverá durante su siguiente turno. También puedes emitir una orden general, como proteger una habitación o un pasillo en particular. Si no emites órdenes, la criatura solo se defiende a sí misma contra criaturas hostiles. Una vez se le da una orden, la criatura no se detendrá hasta cumplirla.</p><p><b>Estadísticas de objetos animados</b></p><table cellpadding=""7"" cellspacing=""0""> <tr> <td valign=""top"" > <p><b>Tamaño</b></td><td  ><b>PG</b></td><td  ><b>CA</b></td><td valign=""top"" ><p><b>Ataque</b></td><td  ><b>FUE</b></td><td  ><b>DES</b></td></tr> <tr> <td valign=""top"" > <p>Diminuto</td><td  >20</td><td  >18</td><td valign=""top"" > <p>+8 al ataque, 1d4+4 puntos de daño</td><td  >4</td><td  >18</td></tr> <tr> <td valign=""top"" ><p>Pequeño</td><td  >25</td><td  >16</td><td valign=""top"" ><p>+6 al ataque, 1d8+2 puntos de daño</td><td  >6</td><td  >14</td></tr> <tr><td valign=""top"" ><p>Mediano</td><td  >40</td><td  >13</td><td valign=""top"" ><p>+5 al ataque, 2d6+1 puntos de daño</td><td  >10</td><td  >12</td></tr><tr><td valign=""top"" ><p>Grande</td><td  >50</td><td  >10</td><td valign=""top"" ><p>+6 al ataque, 2d10+2 puntos de daño</td><td  >14</td><td  >10</td></tr> <tr><td valign=""top"" > <p>Enorme</td><td  >80</td><td  >10</td><td valign=""top"" ><p>+8 al ataque, 2d12+4 puntos de daño</td><td  >18</td><td  >6</td></tr></table><p>Un objeto animado es un constructo con CA, puntos de golpe, ataques, Fuerza y Destreza, estadísticas que vienen determinadas por su tamaño. Su Constitución es 10, su Inteligencia y su Sabiduría 3 y su Carisma 1. Su velocidad es de 30 pies; si el objeto no tiene piernas u otras extremidades que pueda usar para moverse, en su lugar tiene velocidad volando de 30 pies y puede planear. Si el objeto está enganchado firmemente a una superficie o a un objeto más grande, como una cadena sujeta a una pared, su velocidad es 0. Tiene vista ciega en un radio de 30 pies y es ciego más allá de esa distancia. Cuando los puntos de golpe de un objeto animado se reducen a 0, vuelve a su forma original y cualquier daño restante repercute sobre esta.</p><p>Si le ordenas a un objeto que ataque, puede hacer un único ataque cuerpo a cuerpo contra una criatura que se encuentre a 5 pies de él. Hace un ataque sin armas con bonificador de ataque e inflige daño contundente determinado por su tamaño. El director de juego puede decidir que un objeto específico hace daño cortante o perforante de acuerdo a su forma.</p>"|<p>Si lanzas este conjuro usando un espacio de conjuro de nivel 6 o superior, puedes animar a dos objetos adicionales por cada nivel por encima de 5.</p>|120|1|1|0||0|1|1 acción|7|5|Hasta 1 minuto|1, 6, 7
Antipatía/Simpatía|<p>Este conjuro atrae o repele a las criaturas que elijas. Elige como objetivo a algo que esté dentro del alcance, ya sea un objeto o una criatura Enorme o de un tamaño menor, o un área que no tenga más de 200 pies cúbicos. Luego especifica un tipo de criatura inteligente, como dragones rojos, trasgos o vampiros. Imbuyes al objetivo con un aura que atrae o repele a las criaturas determinadas mientras dure el conjuro. Elige Antipatía o Simpatía como efecto del aura.</p><p><b>Antipatía</b>. El conjuro hace que el tipo de criaturas indicado sientan una urgencia inmensa de marcharse del área y evitar al objetivo. Cuando una criatura de ese tipo pueda ver al objetivo o se acerque a 60 pies o menos de él, debe superar una tirada de salvación de Sabiduría para no asustarse. La criatura permanece asustada mientras pueda ver al objetivo o esté a 60 pies o menos de él. En este estado, debe usar su movimiento para desplazarse hasta el lugar seguro más cercano desde el que no pueda ver al objetivo. Si se aleja más de 60 pies del objetivo y no puede verlo, ya no estará asustada, pero volverá a estarlo si sigue viendo al objetivo o si se acerca a 60 pies o menos de él.</p><p><b>Simpatía</b>. El conjuro hace que el tipo de criaturas indicado sientan una urgencia inmensa de acercarse al objetivo mientras esté a 60 pies o menos de él o pueda verlo. Cuando una criatura de ese tipo pueda ver al objetivo o se acerque a 60 pies o menos de él, debe superar una tirada de salvación de Sabiduría para no tener que usar su movimiento en cada uno de sus turnos para entrar en el área o ponerse al alcance del objetivo. Cuando lo haya hecho, no puede alejarse voluntariamente.</p><p>Si el objetivo daña de algún modo a la criatura afectada, esta puede hacer una tirada de salvación de Sabiduría para acabar con el efecto, como se describe a continuación.</p><p><b>Acabar con el efecto</b>. Si una criatura afectada termina su turno a más de 60 pies del objetivo o no es capaz de verlo, debe hacer una tirada de salvación de Sabiduría. Si tiene éxito, deja de estar afectada por el objetivo, se da cuenta de que el sentimiento de repugnancia o atracción es mágico y se vuelve inmune al efecto durante 1 minuto. Una criatura afectada puede hacer una tirada de salvación de Sabiduría cada 24 horas mientras persista el conjuro.</p>||60|1|1|1|o bien un terrón de alumbre untado en vinagre para el efecto de antipatía, o bien untando en miel para el efecto de simpatía|0|0|1 hora|5|8|10 días|4, 7
Apacible descanso|<p>Tocas un cadáver u otros restos. Mientras dure el conjuro, el objetivo está protegido de la descomposición y no puede convertirse en no muerto.</p><p>El conjuro también prolonga el tiempo límite en que el objetivo podrá ser devuelto a la vida, dado que los días que pasa bajo la influencia de este conjuro no se tienen en cuenta para el límite de tiempo posible para usar sobre él conjuros como <i>Revivir a los muertos</i>.</p>||1|1|1|1|una pizca de sal y una pieza de cobre colocada en cada uno de los ojos del cuerpo, los cuales deben permanecer ahí por toda la duración|1|0|1 acción|6|2|10 días|3, 7
Arma espiritual|<p>Creas un arma espectral flotante dentro del alcance que dura mientras lo haga el conjuro o hasta que vuelvas a lanzarlo. Cuando invocas el arma, puedes hacer un ataque de conjuro cuerpo a cuerpo contra una criatura que se encuentre a 5 pies o menos del arma. Si impactas, el objetivo recibe daño por fuerza igual a 1d8 + tu modificador por característica para lanzar conjuros.</p><p>Como acción adicional en tu turno, puedes mover el arma hasta 20 pies y repetir el ataque contra una criatura que se encuentre a 5 pies o menos de ella.</p><p>El arma puede adoptar cualquier forma que elijas. Los clérigos de deidades asociadas con un arma en particular (como san Cuthbert, que es conocido por su maza, y Thor, por su martillo) hacen que el efecto de este conjuro se parezca a esa arma.</p>|<p>Cuando lanzas este conjuro usando un espacio de conjuro de nivel 3 o superior, el daño aumenta en 1d8 puntos por cada dos niveles por encima de 2.</p>|60|1|1|0||0|0|1 acción adicional|2|2|1 minuto|3
Arma mágica|<p>Tocas un arma no mágica. Hasta que termine el conjuro, el arma se convierte en un arma mágica con un bonificador de +1 a las tiradas de ataque y de daño.</p>|<p>Cuando lanzas este conjuro usando un espacio de conjuro de nivel 4 o superior, el bonificador aumenta a +2. Cuando usas un espacio de conjuro de nivel 6 o superior, el bonificador aumenta a +3.</p>|1|1|1|0||0|1|1 acción adicional|7|2|Hasta 1 hora|7, 8
Armadura de mago|<p>Tocas a una criatura voluntaria que no lleve armadura y una fuerza protectora mágica la rodea hasta que el conjuro termina. La CA base del objetivo pasa a ser 13 + su modificador por Destreza. El conjuro termina si el objetivo se pone una armadura o si, como acción, disipas el conjuro.</p>||1|1|1|1|un trozo de cuero curtido|0|0|1 acción|3|1|8 horas|6, 7
Asesino fantasmal|<p>Accedes a las pesadillas de una criatura que puedas ver dentro del alcance y creas una manifestación ilusoria de sus miedos más profundos, que solo puede ver esa criatura. El objetivo debe hacer una tirada de salvación de Sabiduría. Si falla, queda asustado mientras dura el conjuro. Al final de cada uno de sus turnos antes de que termine el conjuro, el objetivo debe superar una tirada de salvación de Sabiduría para no recibir 4d10 puntos de daño psíquico. Si supera la tirada, el conjuro termina.</p>|<p>Cuando lanzas este conjuro usando un espacio de conjuro de nivel 5 o superior, el daño aumenta en 1d10 por cada nivel por encima de 5.</p>|120|1|1|0||0|1|1 acción|4|4|Hasta 1 minuto|7
Asolar|<p> energía nigromántica anega a una criatura de tu elección que puedas ver dentro del alcance y le drena los humores y la vitalidad. El objetivo debe hacer una tirada de salvación de Constitución: si falla, recibe 8d8 puntos de daño necrótico y, si tiene éxito, la mitad. Este conjuro no tiene efecto sobre no muertos ni constructos.</p><p>Si el objetivo es una criatura planta o a una planta mágica, esta tiene desventaja en la tirada de salvación y el conjuro le inflige el máximo de daño.</p><p>Si el objetivo es una planta no mágica que no es una criatura, como un árbol o un arbusto, no hace tirada de salvación, simplemente se seca y muere.</p>|<p>Cuando lanzas este conjuro usando un espacio de nivel 5 o superior, el daño aumenta en 1d8 por cada nivel por encima de 4.</p>|30|1|1|0||0|0|1 acción|6|4|Instantáneo|2,4,6,7
Atravesar muro|<p>En un punto que elijas y que puedas ver en una superficie de madera, yeso o piedra (como un muro, un techo o un suelo) dentro del alcance aparece un pasaje que dura mientras lo haga el conjuro. Tú eliges las dimensiones de la abertura: hasta 5 pies de ancho, 8 pies de alto y 20 pies de profundidad. El pasaje no hace que la estructura que lo rodea se desestabilice.</p><p>Cuando la abertura desaparece, cualquier criatura u objeto que todavía esté en el pasaje que ha creado el conjuro son expulsados sanos y salvos al lugar libre más cercano a la superficie en la que lanzaste el conjuro.</p>||30|1|1|1|unas semillas de sésamo|0|0|1 acción|7|5|1 hora|7
Augurio|<p>Tirando varillas con gemas engarzadas, haciendo girar huesos de dragón, echando cartas adornadas o empleando alguna otra herramienta divina, recibes un augurio de una entidad de otro mundo sobre el resultado de una acción específica que planeas realizar en los 30 minutos siguientes. El director de juego elige uno de los siguientes augurios posibles:</p><ul><li>Dicha: buenos resultados.</li><li>Desdicha: malos resultados.</li><li>Dicha y desdicha: resultados tanto buenos como malos.</li><li>Nada: resultados que no son ni especialmente buenos ni especialmente malos.</li></ul><p>El conjuro no tiene en cuenta ninguna circunstancia posible que pueda cambiar el resultado, como que se lancen otros conjuros o que se pierda o se gane un compañero.</p><p>Si lanzas el conjuro dos o más veces antes de completar tu siguiente descanso prolongado, hay un 25 % de probabilidades acumulativas de conseguir una lectura aleatoria. El director de juego hace esta tirada en secreto.</p>||0|1|1|1|palillos con marcas especiales, huesos o fichas parecidas de un valor mínimo de 25 po|1|0|1 minuto|8|2|Instantáneo|3
Aura mágica del arcano|<p>Colocas una ilusión en una criatura o un objeto que toques para que los conjuros de adivinación revelen información falsa sobre él. El objetivo puede ser una criatura voluntaria o un objeto que ninguna criatura lleve puesto ni transporte.</p><p>Cuando lances el conjuro, elige uno de los siguientes efectos o los dos. El efecto dura mientras lo haga el conjuro. Si lanzas este conjuro sobre la misma criatura u objeto durante 30 días y colocas el mismo efecto en él todas las veces, la ilusión dura hasta que se disipe.</p><p><b>Aura falsa</b>. Cambias el modo en que el objetivo aparece ante conjuros o efectos mágicos que detectan auras mágicas, como Detectar magia. Puedes hacer que un objeto no mágico parezca mágico, que un objeto mágico parezca no mágico o cambiar el aura mágica de un objeto para que parezca que es de una escuela de magia específica. Cuando uses este efecto en un objeto, puedes determinar que cualquier criatura que sujete el objeto perciba esta magia falsa.</p><p><b>Máscara</b>. Puedes cambiar el modo en que el objetivo aparece ante conjuros o efectos mágicos que detectan tipos de criaturas, como el Sentido divido del paladín o la activación del conjuro Símbolo. Elige un tipo de criatura: otros conjuros y efectos mágicos considerarán que la criatura objetivo es del tipo o alineamiento del tipo elegido.</p>||1|1|1|1|un pequeño cuadrado de seda|0|0|1 acción|4|2|24 horas|7
Aura sagrada|<p>La luz divina surge de ti y se fusiona en un tenue resplandor en un radio de 30 pies. Las criaturas que elijas dentro de ese radio cuando lances este conjuro emiten luz tenue en un radio de 5 pies y tienen ventaja en las tiradas de salvación, mientras que el resto tiene desventaja en las tiradas de ataque que se hagan contra ellas hasta que el conjuro termine. Además, cuando un infernal o un no muerto impacte a una criatura afectada con un ataque cuerpo a cuerpo, el aura destella con una luz brillante. El atacante debe superar una tirada de salvación de Constitución para no quedar cegado hasta que termine el conjuro.</p>||0|1|1|1|un pequeño relicario con un valor mínimo de 1.000 po que contenga una reliquia sagrada, como un pedazo de ropa de la túnica de un santo o una pieza de pergamino de un texto sagrado|0|1|1 acción|3|8|Hasta 1 minuto|3
Auxilio|<p>Tu conjuro concede a tus aliados dureza y determinación. Elige hasta tres criaturas dentro del alcance. El máximo de puntos de golpe y los puntos de golpe actuales de cada objetivo aumentan en 5 mientras dura el conjuro.</p>|<p>Cuando lanzas este conjuro usando un espacio de conjuro de nivel 3 o superior, los puntos de golpe del objetivo aumentan 5 puntos adicionales por cada nivel por encima de 2.</p>|30|1|1|1|una tira diminuta de tela blanca|0|0|1 acción|3|2|8 horas|3, 8
Baile irresistible|<p>Elige una criatura que puedas ver dentro del alcance. El objetivo se pone a bailar de manera cómica, moviendo manos y pies, mientras dura el conjuro. Las criaturas que no pueden ser hechizadas son inmunes a este conjuro.</p><p>Una criatura que baila debe usar todo su movimiento para bailar sin moverse de su espacio y tiene desventaja en las tiradas de salvación de Destreza y en las tiradas de ataque. Mientras que el objetivo está afectado por este conjuro, las demás criaturas tienen ventaja en las tiradas de ataque que hagan contra él. Como acción, la criatura puede hacer una tirada de salvación de Sabiduría para recuperar el control sobre sí misma. Si tiene éxito, el conjuro termina.</p>||30|1|0|0||0|1|1 acción|5|6|Hasta 1 minuto|1, 7
Barrera antivida|<p>Una barrera reluciente se extiende desde ti en un radio de 10 pies, moviéndose al mismo tiempo que tú, y repele a todas las criaturas salvo a los no muertos y a los constructos. La barrera dura mientras lo haga el conjuro. La barrera impide que las criaturas a las que afecta la traspasen, aunque pueden lanzar conjuros y hacer ataques con armas a distancia y de alcance a través de ella.</p><p>Si al moverte obligas a una criatura a la que afecta a que traspase la barrera, el conjuro termina.</p>||0|1|1|0||0|1|1 acción|3|5|Hasta 1 hora|4
Barrera de cuchillas|<p>Creas una pared vertical de afiladas cuchillas de energía mágica que giran. La pared aparece dentro del alcance y dura mientras este lo haga. La pared puede medir hasta 100 pies de largo, 20 pies de alto y 5 pies de grosor. Proporciona tres cuartos de cobertura y el espacio que ocupa es terreno difícil.</p><p>Cuando una criatura entra en el área de la pared por primera vez en un turno o empieza su turno dentro de ella, debe superar una tirada de salvación de Destreza. Si falla, recibe 6d10 puntos de daño cortante; si tiene éxito, recibe la mitad.</p>||90|1|1|0||0|1|1 acción|2|6|Hasta 10 minutos|3
Bendecir|<p>Bendices hasta a tres criaturas de tu elección dentro del alcance. Cuando un objetivo haga una tirada de ataque o de salvación antes de que termine el conjuro, puede tirar 1d4 y sumar el resultado a su tirada.</p>|<p>Cuando lanzas este conjuro usando un espacio de nivel 2 o superior, puedes elegir como objetivo a una criatura adicional por cada nivel por encima de 1.</p>|30|1|1|1|una rociada de agua bendita|0|1|1 acción|5|1|Hasta 1 minuto|3, 8
Boca mágica|<p>Colocas un mensaje en un objeto dentro del alcance, el cual se emite cuando se cumple la condición que lo activa. Elige un objeto que puedas ver y que ninguna otra criatura lleve puesto ni transporte. Luego di el mensaje, que debe tener como máximo 25 palabras, aunque se puede entregar a lo largo de 10 minutos. Por último, determina la circunstancia que activa el conjuro para entregar el mensaje.</p><p>Cuando se dé esta circunstancia, una boca mágica aparece en el objeto y recita el mensaje con tu voz y al mismo volumen al que la dijiste. Si el objeto que elijes tiene una boca o algo que parece una boca (por ejemplo, la boca de una estatua), la boca mágica aparece ahí para que parezca que las palabras provienen de la boca del objeto. Cuando lanzas este conjuro, puedes decidir que el conjuro termine después de entregar el mensaje o que permanezca y repeta el mensaje en cualquier momento en el que se active.</p><p>La circunstancia que activa el mensaje puede ser todo lo general o detallada que quieras, aunque debe basarse en una condición visual o auditiva que ocurra a 30 pies o menos del objeto. Por ejemplo, puedes hacer que la boca hable cuando cualquier criatura se mueva a 30 pies o menos del objeto o cuando suene una campana de plata también a 30 pies o menos.</p>||30|1|1|1|un trozo pequeño de panal y jade en polvo por valor de al menos 10 po, que el conjuro consume|1|0|1 minuto|4|2|Hasta que se disipa|1, 7
